,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Japan,... ,... , ...,... ,... , ...,>95 ,88 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,93 ,86 , >95,39 ,36 , 42,67 ,63 , 72,95 ,88 , >95,46 ,42 , 49,62 ,57 , 66,>95 ,89 , >95,62 ,57 , 66,83 ,76 , 88,>95 ,90 , >95,71 ,66 , 76,68 ,63 , 72
Kenya,91 ,77 , >95,72 ,61 , 87,... ,... , ...,93 ,79 , >95,80 ,68 , >95,... ,... , ...,94 ,79 , >95,86 ,72 , >95,... ,... , ...,94 ,79 , >95,80 ,68 , >95,... ,... , ...
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,,,
Kuwait,45 ,41 , 49,93 ,84 , >95,94 ,85 , >95,51 ,46 , 55,>95 ,86 , >95,95 ,86 , >95,53 ,48 , 58,90 ,81 , >95,>95 ,86 , >95,58 ,52 , 64,90 ,81 , >95,>95 ,88 , >95
Kyrgyzstan,65 ,50 , 86,51 ,39 , 69,66 ,51 , 88,70 ,54 , 93,59 ,46 , 79,70 ,53 , 93,75 ,57 , >95,66 ,50 , 88,74 ,57 , >95,79 ,60 , >95,69 ,52 , 93,76 ,57 , >95
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,85 , >95,... ,... , ...,... ,... , ...,92 ,82 , >95
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,63 ,56 , 69,43 ,38 , 47,... ,... , ...,66 ,59 , 74,49 ,44 , 54,... ,... , ...,73 ,65 , 81,45 ,41 , 51,>95 ,88 , >95,77 ,69 , 85,49 ,43 , 54,>95 ,89 , >95
Lesotho,77 ,72 , 82,65 ,61 , 69,... ,... , ...,80 ,75 , 86,72 ,67 , 76,... ,... , ...,84 ,79 , 90,77 ,73 , 83,88 ,82 , 94,89 ,83 , 95,73 ,68 , 78,95 ,89 , >95
Liberia,77 ,71 , 86,29 ,26 , 32,... ,... , ...,80 ,74 , 89,33 ,30 , 37,... ,... , ...,83 ,76 , 92,49 ,45 , 54,... ,... , ...,85 ,78 , 94,53 ,48 , 58,... ,... , ...
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,85 ,75 , 94,91 ,80 , >95,82 ,72 , 91,87 ,76 , >95,90 ,79 , >95,86 ,76 , >95
Madagascar,8 ,7 , 10,>95 ,83 , >95,... ,... , ...,13 ,11 , 17,76 ,64 , >95,... ,... , ...,16 ,13 , 20,74 ,60 , >95,... ,... , ...,21 ,16 , 30,75 ,59 , >95,... ,... , ...
Malawi,86 ,77 , 93,81 ,73 , 88,90 ,81 , >95,89 ,80 , >95,86 ,78 , 93,92 ,83 , >95,92 ,83 , >95,89 ,80 , >95,90 ,81 , >95,94 ,84 , >95,92 ,83 , >95,92 ,83 , >95
Malaysia,63 ,56 , 73,71 ,62 , 81,... ,... , ...,67 ,59 , 77,91 ,79 , >95,... ,... , ...,71 ,62 , 81,>95 ,83 , >95,... ,... , ...,75 ,65 , 85,95 ,83 , >95,... ,... , ...
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,35 ,28 , 44,85 ,67 , >95,... ,... , ...,36 ,29 , 45,86 ,69 , >95,... ,... , ...,36 ,29 , 45,91 ,73 , >95,... ,... , ...,37 ,29 , 46,>95 ,76 , >95,... ,... , ...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,60 ,50 , 72,>95 ,82 , >95,... ,... , ...,65 ,54 , 79,93 ,78 , >95,... ,... , ...,75 ,62 , 91,>95 ,84 , >95,... ,... , ...,77 ,64 , 95,>95 ,82 , >95,... ,... , ...
Mauritius,15 ,13 , 17,>95 ,86 , >95,... ,... , ...,17 ,14 , 19,>95 ,86 , >95,... ,... , ...,18 ,16 , 22,>95 ,84 , >95,... ,... , ...,19 ,16 , 23,>95 ,82 , >95,70 ,58 , 84
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,>95,,
Mongolia,38 ,34 , 43,77 ,69 , 86,85 ,76 , >95,37 ,33 , 42,70 ,62 , 79,>95 ,85 , >95,38 ,34 , 42,78 ,69 , 87,84 ,75 , 94,39 ,35 , 44,77 ,68 , 86,91 ,81 , >95
Montenegro,53 ,47 , 62,61 ,54 , 72,... ,... , ...,53 ,46 , 62,65 ,56 , 77,>95 ,87 , >95,49 ,42 , 58,71 ,61 , 85,80 ,69 , 95,52 ,44 , 61,72 ,62 , 84,>95 ,85 , >95
Morocco,73 ,59 , 95,81 ,66 , >95,87 ,71 , >95,78 ,63 , >95,87 ,71 , >95,88 ,71 , >95,84 ,68 , >95,81 ,66 , >95,89 ,72 , >95,90 ,73 , >95,84 ,68 , >95,91 ,74 , >95
Mozambique,69 ,56 , 84,62 ,50 , 76,... ,... , ...,74 ,60 , 90,70 ,57 , 85,... ,... , ...,77 ,63 , 94,74 ,60 , 90,... ,... , ...,80 ,65 , >95,79 ,64 , >95,... ,... , ...
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,92 ,83 , >95
Namibia,86 ,79 , 91,92 ,85 , >95,>95 ,89 , >95,88 ,82 , 94,93 ,86 , >95,94 ,87 , >95,95 ,88 , >95,>95 ,93 , >95,94 ,87 , >95,95 ,88 , >95,>95 ,>95 , >95,>95 ,89 , >95
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,71 ,63 , 80,93 ,82 , >95,... ,... , ...
Netherlands,>95 ,92 , >95,88 ,83 , 93,93 ,88 , >95,>95 ,91 , >95,89 ,85 , 95,93 ,88 , >95,>95 ,90 , >95,90 ,84 , >95,92 ,87 , >95,... ,... , ...,... ,... , ...,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,74 ,60 , 94
Niger,73 ,63 , 86,63 ,54 , 74,... ,... , ...,76 ,65 , 90,72 ,62 , 86,... ,... , ...,79 ,66 , 94,80 ,68 , >95,78 ,66 , 93,85 ,71 , >95,81 ,68 , >95,84 ,70 , >95
Nigeria,61 ,45 , 80,>95 ,74 , >95,... ,... , ...,66 ,50 , 88,>95 ,75 , >95,... ,... , ...,71 ,53 , 94,>95 ,72 , >95,... ,... , ...,74 ,55 , >95,92 ,69 , >95,... ,... , ...
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,45 ,39 , 52,>95 ,88 , >95,>95 ,88 , >95,41 ,36 , 48,>95 ,89 , >95,>95 ,89 , >95
Norway,93 ,83 , >95,85 ,76 , 94,... ,... , ...,94 ,84 , >95,85 ,76 , 94,... ,... , ...,>95 ,86 , >95,84 ,76 , 93,... ,... , ...,>95 ,87 , >95,84 ,76 , 93,... ,... , ...
Oman,... ,... , ...,... ,... , ...,79 ,72 , 86,... ,... , ...,... ,... , ...,86 ,78 , 93,... ,... , ...,... ,... , ...,84 ,77 , 92,51 ,46 , 56,87 ,79 , 95,88 ,80 , >95
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,8 ,7 , 9,83 ,73 , 94,... ,... , ...
Panama,50 ,45 , 54,83 ,75 , 90,... ,... , ...,51 ,46 , 56,93 ,84 , >95,... ,... , ...,53 ,49 , 58,>95 ,89 , >95,... ,... , ...,56 ,50 , 61,81 ,73 , 88,83 ,76 , 91
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,91 ,83 , >95,77 ,69 , 84,... ,... , ...
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,84 ,64 , >95,52 ,40 , 73,79 ,60 , >95
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,... ,... , ...,... ,... , ...,75 ,64 , 88,22 ,19 , 27,... ,... , ...,76 ,64 , 89,25 ,21 , 30,... ,... , ...,78 ,66 , 92,28 ,24 , 33,... ,... , ...
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,91 ,80 , >95,88 ,77 , >95,89 ,79 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,77 ,66 , 88
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,... ,... , ...,... ,... , ...,48 ,39 , 62,69 ,55 , 89,... ,... , ...,57 ,46 , 74,65 ,53 , 85,71 ,58 , 93,61 ,50 , 80,67 ,54 , 87,77 ,62 , >95
Romania,>95 ,85 , >95,72 ,64 , 78,... ,... , ...,>95 ,86 , >95,76 ,67 , 82,... ,... , ...,>95 ,87 , >95,74 ,66 , 81,94 ,84 , >95,>95 ,88 , >95,73 ,65 , 79,80 ,71 , 87
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,91 ,81 , >95,83 ,73 , 91,... ,... , ...,93 ,82 , >95,90 ,79 , >95,84 ,74 , 93,94 ,83 , >95,92 ,81 , >95,85 ,75 , 95,>95 ,85 , >95,95 ,84 , >95,87 ,77 , >95
Saint Kitts and Nevis,... ,... , ...,... ,... , ...,64 ,56 , 74,... ,... , ...,... ,... , ...,79 ,69 , 93,... ,... , ...,... ,... , ...,67 ,58 , 78,... ,... , ...,... ,... , ...,73 ,64 , 86
Saint Lucia,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,24 ,21 , 27,... ,... , ...,... ,... , ...,16 ,15 , 18,... ,... , ...,... ,... , ...,33 ,30 , 37
Saint Vincent and the Grenadines,>95 ,>95 , >95,48 ,42 , 53,94 ,83 , >95,>95 ,92 , >95,53 ,47 , 59,85 ,75 , 95,>95 ,88 , >95,53 ,47 , 59,90 ,79 , >95,93 ,82 , >95,52 ,46 , 58,84 ,74 , 94
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,33,,
Sao Tome and Principe,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,45 ,37 , 57
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,95 ,83 , >95,>95 ,84 , >95
Senegal,59 ,52 , 66,79 ,69 , 89,... ,... , ...,62 ,54 , 70,93 ,81 , >95,... ,... , ...,66 ,57 , 74,95 ,82 , >95,... ,... , ...,74 ,65 , 84,>95 ,84 , >95,... ,... , ...
Serbia,84 ,64 , >95,69 ,53 , 84,... ,... , ...,84 ,64 , >95,76 ,57 , 93,... ,... , ...,85 ,62 , >95,83 ,61 , >95,... ,... , ...,86 ,62 , >95,76 ,54 , >95,... ,... , ...
Sierra Leone,51 ,42 , 62,55 ,45 , 67,67 ,55 , 82,55 ,44 , 67,65 ,52 , 79,67 ,54 , 82,58 ,47 , 71,78 ,63 , >95,67 ,54 , 81,61 ,49 , 75,86 ,69 , >95,64 ,51 , 78
Singapore,76 ,68 , 85,... ,... , ...,95 ,85 , >95,83 ,75 , 93,... ,... , ...,>95 ,86 , >95,85 ,76 , 94,... ,... , ...,78 ,70 , 86,... ,... , ...,... ,... , ...,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,65 ,51 , >95,85 ,67 , >95,... ,... , ...,51 ,40 , 83,94 ,73 , >95,85 ,66 , >95
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,78,,
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
South Africa,88 ,81 , 95,59 ,54 , 63,79 ,72 , 84,90 ,83 , >95,62 ,57 , 66,82 ,76 , 88,92 ,84 , >95,66 ,61 , 71,86 ,79 , 91,93 ,86 , >95,71 ,65 , 75,89 ,82 , >95
South Sudan,18 ,13 , 22,81 ,62 , >95,... ,... , ...,21 ,16 , 26,65 ,49 , 80,... ,... , ...,25 ,18 , 31,61 ,45 , 76,... ,... , ...,28 ,21 , 35,67 ,49 , 83,... ,... , ...
Spain,... ,... , ...,... ,... , ...,... ,... , ...,85 ,76 , 93,>95 ,87 , >95,93 ,83 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,66 , 89,... ,... , ...,... ,... , ...,79 ,68 , 92,... ,... , ...,... ,... , ...,87 ,75 , >95
Sudan,19 ,11 , 31,40 ,23 , 63,... ,... , ...,22 ,12 , 37,46 ,24 , 77,... ,... , ...,26 ,12 , 45,52 ,25 , 91,... ,... , ...,28 ,12 , 53,54 ,23 , >95,... ,... , ...
Suriname,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,71 ,48 , >95,87 ,58 , >95,88 ,59 , >95
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,55 ,46 , 66,69 ,58 , 84,... ,... , ...,62 ,52 , 75,78 ,65 , 94,... ,... , ...,70 ,59 , 85,83 ,69 , >95,65 ,54 , 78,80 ,67 , >95,84 ,70 , >95,72 ,60 , 87
Thailand,80 ,70 , 94,75 ,65 , 87,>95 ,84 , >95,84 ,73 , >95,78 ,68 , 91,>95 ,84 , >95,89 ,77 , >95,80 ,69 , 92,>95 ,84 , >95,94 ,81 , >95,82 ,71 , 94,>95 ,84 , >95
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,75 ,70 , 82,59 ,54 , 64,... ,... , ...,78 ,72 , 85,77 ,71 , 84,... ,... , ...,81 ,75 , 88,89 ,82 , >95,... ,... , ...,84 ,77 , 91,87 ,80 , 94,... ,... , ...
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,58 ,38 , 87
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,
Uganda,78 ,74 , 85,78 ,74 , 84,... ,... , ...,81 ,76 , 88,85 ,80 , 92,90 ,84 , >95,83 ,78 , 90,95 ,89 , >95,91 ,85 , >95,85 ,80 , 92,93 ,87 , >95,90 ,84 , >95
Ukraine,85 ,80 , 91,43 ,40 , 46,88 ,83 , 94,88 ,83 , 94,57 ,54 , 61,86 ,80 , 91,90 ,84 , >95,64 ,60 , 68,87 ,81 , 93,89 ,83 , >95,75 ,70 , 81,93 ,86 , >95
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,69 ,62 , 76,87 ,79 , >95,... ,... , ...,74 ,66 , 81,90 ,81 , >95,... ,... , ...,78 ,71 , 86,94 ,85 , >95,... ,... , ...,82 ,74 , 90,>95 ,90 , >95,89 ,81 , >95
United States,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,87 ,70 , >95,68 ,54 , 85,70 ,56 , 88,92 ,71 , >95,62 ,48 , 79,70 ,54 , 89,>95 ,74 , >95,64 ,48 , 83,90 ,68 , >95,>95 ,73 , >95,73 ,54 , >95,>95 ,72 , >95
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Zambia,81 ,72 , 91,84 ,75 , 95,... ,... , ...,83 ,74 , 93,84 ,76 , 95,90 ,81 , >95,85 ,77 , >95,87 ,78 , >95,... ,... , ...,88 ,78 , >95,>95 ,85 , >95,75 ,67 , 85
Zimbabwe,88 ,76 , >95,79 ,69 , 90,... ,... , ...,90 ,79 , >95,85 ,73 , >95,88 ,76 , >95,92 ,80 , >95,92 ,80 , >95,... ,... , ...,94 ,81 , >95,>95 ,86 , >95,... ,... , ...
Global,76 ,65,88,70 ,61,74,83 ,69,90,79 ,68,92,74 ,65,78,85 ,71,91,82 ,71,95,78 ,68,82,86 ,72,92,84 ,73,>95,81 ,71,85,87 ,73,93